Exiobase - Region,Exiobase - Category
MUS,Aluminium ores and concentrates
MUS,Precious metal ores and concentrates
MUS,"Lead, zinc and tin ores and concentrates"
MUS,Other non-ferrous metal ores and concentrates
MUS,Stone
MUS,Sand and clay
MUS,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
MUS,Products of meat cattle
MUS,Products of meat pigs
MUS,Products of meat poultry
MUS,Meat products nec
MUS,products of Vegetable oils and fats
MUS,Dairy products
MUS,Processed rice
MUS,Sugar
MUS,Food products nec
MUS,Beverages
MUS,Fish products
MUS,Tobacco products (16)
MUS,Textiles (17)
MUS,Wearing apparel; furs (18)
MUS,Leather and leather products (19)
MUS,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
MUS,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
MUS,Pulp
MUS,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
MUS,Paper and paper products
MUS,Printed matter and recorded media (22)
MUS,Coke Oven Coke
MUS,Gas Coke
MUS,Coal Tar
MUS,Motor Gasoline
MUS,Aviation Gasoline
MUS,Gasoline Type Jet Fuel
MUS,Kerosene Type Jet Fuel
MUS,Kerosene
MUS,Gas/Diesel Oil
MUS,Heavy Fuel Oil
MUS,Refinery Gas
MUS,Liquefied Petroleum Gases (LPG)
MUS,Refinery Feedstocks
MUS,Ethane
MUS,Naphtha
MUS,White Spirit & SBP
MUS,Lubricants
MUS,Bitumen
MUS,Paraffin Waxes
MUS,Petroleum Coke
MUS,Non-specified Petroleum Products
MUS,Nuclear fuel
MUS,"Plastics, basic"
MUS,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
MUS,N-fertiliser
MUS,P- and other fertiliser
MUS,Chemicals nec
MUS,Charcoal
MUS,Additives/Blending Components
MUS,Biogasoline
MUS,Biodiesels
MUS,Other Liquid Biofuels
MUS,Rubber and plastic products (25)
MUS,Glass and glass products
MUS,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
MUS,Ceramic goods
MUS,"Bricks, tiles and construction products, in baked clay"
MUS,"Cement, lime and plaster"
MUS,"Ash for treatment, Re-processing of ash into clinker"
MUS,Other non-metallic mineral products
MUS,Basic iron and steel and of ferro-alloys and first products thereof
MUS,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
MUS,Precious metals
MUS,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
MUS,Aluminium and aluminium products
MUS,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
MUS,"Lead, zinc and tin and products thereof"
MUS,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
MUS,Copper products
MUS,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
MUS,Other non-ferrous metal products
MUS,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
MUS,Foundry work services
MUS,"Fabricated metal products, except machinery and equipment (28)"
MUS,Machinery and equipment n.e.c. (29)
MUS,Office machinery and computers (30)
MUS,Electrical machinery and apparatus n.e.c. (31)
MUS,"Radio, television and communication equipment and apparatus (32)"
MUS,"Medical, precision and optical instruments, watches and clocks (33)"
MUS,"Motor vehicles, trailers and semi-trailers (34)"
MUS,Other transport equipment (35)
MUS,Furniture; other manufactured goods n.e.c. (36)
MUS,Secondary raw materials
MUS,"Bottles for treatment, Recycling of bottles by direct reuse"
MUS,Electricity by coal
MUS,Electricity by gas
MUS,Electricity by nuclear
MUS,Electricity by hydro
MUS,Electricity by wind
MUS,Electricity by petroleum and other oil derivatives
MUS,Electricity by biomass and waste
MUS,Electricity by solar photovoltaic
MUS,Electricity by solar thermal
MUS,"Electricity by tide, wave, ocean"
MUS,Electricity by Geothermal
MUS,Electricity nec
MUS,Transmission services of electricity
MUS,Distribution and trade services of electricity
MUS,Coke oven gas
MUS,Blast Furnace Gas
MUS,Oxygen Steel Furnace Gas
MUS,Gas Works Gas
MUS,Biogas
MUS,Distribution services of gaseous fuels through mains
MUS,Steam and hot water supply services
MUS,"Collected and purified water, distribution services of water (41)"
MUS,Construction work (45)
MUS,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
MUS,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
MUS,Retail trade services of motor fuel
MUS,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
MUS,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
MUS,Hotel and restaurant services (55)
MUS,Railway transportation services
MUS,Other land transportation services
MUS,Transportation services via pipelines
MUS,Sea and coastal water transportation services
MUS,Inland water transportation services
MUS,Air transport services (62)
MUS,Supporting and auxiliary transport services; travel agency services (63)
MUS,Post and telecommunication services (64)
MUS,"Financial intermediation services, except insurance and pension funding services (65)"
MUS,"Insurance and pension funding services, except compulsory social security services (66)"
MUS,Services auxiliary to financial intermediation (67)
MUS,Real estate services (70)
MUS,Renting services of machinery and equipment without operator and of personal and household goods (71)
MUS,Computer and related services (72)
MUS,Research and development services (73)
MUS,Other business services (74)
MUS,Public administration and defence services; compulsory social security services (75)
MUS,Education services (80)
MUS,Health and social work services (85)
MUS,Food waste for treatment: incineration
MUS,Paper waste for treatment: incineration
MUS,Plastic waste for treatment: incineration
MUS,Intert/metal waste for treatment: incineration
MUS,Textiles waste for treatment: incineration
MUS,Wood waste for treatment: incineration
MUS,Oil/hazardous waste for treatment: incineration
MUS,Food waste for treatment: biogasification and land application
MUS,Paper waste for treatment: biogasification and land application
MUS,Sewage sludge for treatment: biogasification and land application
MUS,Food waste for treatment: composting and land application
MUS,Paper and wood waste for treatment: composting and land application
MUS,Food waste for treatment: waste water treatment
MUS,Other waste for treatment: waste water treatment
MUS,Food waste for treatment: landfill
MUS,Paper for treatment: landfill
MUS,Plastic waste for treatment: landfill
MUS,Inert/metal/hazardous waste for treatment: landfill
MUS,Textiles waste for treatment: landfill
MUS,Wood waste for treatment: landfill
MUS,Membership organisation services n.e.c. (91)
MUS,"Recreational, cultural and sporting services (92)"
MUS,Other services (93)
MUS,Private households with employed persons (95)
MUS,Extra-territorial organizations and bodies
MEX,Paddy rice
MEX,Wheat
MEX,Cereal grains nec
MEX,"Vegetables, fruit, nuts"
MEX,Oil seeds
MEX,"Sugar cane, sugar beet"
MEX,Plant-based fibers
MEX,Crops nec
MEX,Cattle
MEX,Pigs
MEX,Poultry
MEX,Meat animals nec
MEX,Animal products nec
MEX,Raw milk
MEX,"Wool, silk-worm cocoons"
MEX,Manure (conventional treatment)
MEX,Manure (biogas treatment)
MEX,"Products of forestry, logging and related services (02)"
MEX,Fish and other fishing products; services incidental of fishing (05)
MEX,Anthracite
MEX,Coking Coal
MEX,Other Bituminous Coal
MEX,Sub-Bituminous Coal
MEX,Patent Fuel
MEX,Lignite/Brown Coal
MEX,BKB/Peat Briquettes
MEX,Peat
MEX,"Crude petroleum and services related to crude oil extraction, excluding surveying"
MEX,"Natural gas and services related to natural gas extraction, excluding surveying"
MEX,Natural Gas Liquids
MEX,Other Hydrocarbons
MEX,Uranium and thorium ores (12)
MEX,Iron ores
MEX,Copper ores and concentrates
MEX,Nickel ores and concentrates
MEX,Aluminium ores and concentrates
MEX,Precious metal ores and concentrates
MEX,"Lead, zinc and tin ores and concentrates"
MEX,Other non-ferrous metal ores and concentrates
MEX,Stone
MEX,Sand and clay
MEX,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
MEX,Products of meat cattle
MEX,Products of meat pigs
MEX,Products of meat poultry
MEX,Meat products nec
MEX,products of Vegetable oils and fats
MEX,Dairy products
MEX,Processed rice
MEX,Sugar
MEX,Food products nec
MEX,Beverages
MEX,Fish products
MEX,Tobacco products (16)
MEX,Textiles (17)
MEX,Wearing apparel; furs (18)
MEX,Leather and leather products (19)
MEX,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
MEX,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
MEX,Pulp
MEX,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
MEX,Paper and paper products
MEX,Printed matter and recorded media (22)
MEX,Coke Oven Coke
MEX,Gas Coke
MEX,Coal Tar
MEX,Motor Gasoline
MEX,Aviation Gasoline
MEX,Gasoline Type Jet Fuel
MEX,Kerosene Type Jet Fuel
MEX,Kerosene
MEX,Gas/Diesel Oil
MEX,Heavy Fuel Oil
MEX,Refinery Gas
MEX,Liquefied Petroleum Gases (LPG)
MEX,Refinery Feedstocks
MEX,Ethane
MEX,Naphtha
MEX,White Spirit & SBP
MEX,Lubricants
MEX,Bitumen
MEX,Paraffin Waxes
MEX,Petroleum Coke
MEX,Non-specified Petroleum Products
MEX,Nuclear fuel
MEX,"Plastics, basic"
MEX,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
MEX,N-fertiliser
MEX,P- and other fertiliser
MEX,Chemicals nec
MEX,Charcoal
MEX,Additives/Blending Components
MEX,Biogasoline
MEX,Biodiesels
MEX,Other Liquid Biofuels
MEX,Rubber and plastic products (25)
MEX,Glass and glass products
MEX,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
MEX,Ceramic goods
MEX,"Bricks, tiles and construction products, in baked clay"
MEX,"Cement, lime and plaster"
MEX,"Ash for treatment, Re-processing of ash into clinker"
MEX,Other non-metallic mineral products
MEX,Basic iron and steel and of ferro-alloys and first products thereof
MEX,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
MEX,Precious metals
MEX,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
MEX,Aluminium and aluminium products
MEX,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
MEX,"Lead, zinc and tin and products thereof"
MEX,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
MEX,Copper products
MEX,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
MEX,Other non-ferrous metal products
MEX,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
MEX,Foundry work services
MEX,"Fabricated metal products, except machinery and equipment (28)"
MEX,Machinery and equipment n.e.c. (29)
MEX,Office machinery and computers (30)
MEX,Electrical machinery and apparatus n.e.c. (31)
MEX,"Radio, television and communication equipment and apparatus (32)"
MEX,"Medical, precision and optical instruments, watches and clocks (33)"
MEX,"Motor vehicles, trailers and semi-trailers (34)"
MEX,Other transport equipment (35)
MEX,Furniture; other manufactured goods n.e.c. (36)
MEX,Secondary raw materials
MEX,"Bottles for treatment, Recycling of bottles by direct reuse"
MEX,Electricity by coal
MEX,Electricity by gas
MEX,Electricity by nuclear
MEX,Electricity by hydro
MEX,Electricity by wind
MEX,Electricity by petroleum and other oil derivatives
MEX,Electricity by biomass and waste
MEX,Electricity by solar photovoltaic
MEX,Electricity by solar thermal
MEX,"Electricity by tide, wave, ocean"
MEX,Electricity by Geothermal
MEX,Electricity nec
MEX,Transmission services of electricity
MEX,Distribution and trade services of electricity
MEX,Coke oven gas
MEX,Blast Furnace Gas
MEX,Oxygen Steel Furnace Gas
MEX,Gas Works Gas
MEX,Biogas
MEX,Distribution services of gaseous fuels through mains
MEX,Steam and hot water supply services
MEX,"Collected and purified water, distribution services of water (41)"
MEX,Construction work (45)
MEX,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
MEX,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
MEX,Retail trade services of motor fuel
MEX,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
MEX,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
MEX,Hotel and restaurant services (55)
MEX,Railway transportation services
MEX,Other land transportation services
MEX,Transportation services via pipelines
MEX,Sea and coastal water transportation services
MEX,Inland water transportation services
MEX,Air transport services (62)
MEX,Supporting and auxiliary transport services; travel agency services (63)
MEX,Post and telecommunication services (64)
MEX,"Financial intermediation services, except insurance and pension funding services (65)"
MEX,"Insurance and pension funding services, except compulsory social security services (66)"
MEX,Services auxiliary to financial intermediation (67)
MEX,Real estate services (70)
MEX,Renting services of machinery and equipment without operator and of personal and household goods (71)
MEX,Computer and related services (72)
MEX,Research and development services (73)
MEX,Other business services (74)
MEX,Public administration and defence services; compulsory social security services (75)
MEX,Education services (80)
MEX,Health and social work services (85)
MEX,Food waste for treatment: incineration
MEX,Paper waste for treatment: incineration
MEX,Plastic waste for treatment: incineration
MEX,Intert/metal waste for treatment: incineration
MEX,Textiles waste for treatment: incineration
MEX,Wood waste for treatment: incineration
MEX,Oil/hazardous waste for treatment: incineration
MEX,Food waste for treatment: biogasification and land application
MEX,Paper waste for treatment: biogasification and land application
MEX,Sewage sludge for treatment: biogasification and land application
MEX,Food waste for treatment: composting and land application
MEX,Paper and wood waste for treatment: composting and land application
MEX,Food waste for treatment: waste water treatment
MEX,Other waste for treatment: waste water treatment
MEX,Food waste for treatment: landfill
MEX,Paper for treatment: landfill
MEX,Plastic waste for treatment: landfill
MEX,Inert/metal/hazardous waste for treatment: landfill
MEX,Textiles waste for treatment: landfill
MEX,Wood waste for treatment: landfill
MEX,Membership organisation services n.e.c. (91)
MEX,"Recreational, cultural and sporting services (92)"
MEX,Other services (93)
MEX,Private households with employed persons (95)
MEX,Extra-territorial organizations and bodies
FSM,Paddy rice
FSM,Wheat
FSM,Cereal grains nec
FSM,"Vegetables, fruit, nuts"
FSM,Oil seeds
FSM,"Sugar cane, sugar beet"
FSM,Plant-based fibers
FSM,Crops nec
FSM,Cattle
FSM,Pigs
FSM,Poultry
FSM,Meat animals nec
FSM,Animal products nec
FSM,Raw milk
FSM,"Wool, silk-worm cocoons"
FSM,Manure (conventional treatment)
FSM,Manure (biogas treatment)
FSM,"Products of forestry, logging and related services (02)"
FSM,Fish and other fishing products; services incidental of fishing (05)
FSM,Anthracite
FSM,Coking Coal
FSM,Other Bituminous Coal
FSM,Sub-Bituminous Coal
FSM,Patent Fuel
FSM,Lignite/Brown Coal
FSM,BKB/Peat Briquettes
FSM,Peat
FSM,"Crude petroleum and services related to crude oil extraction, excluding surveying"
FSM,"Natural gas and services related to natural gas extraction, excluding surveying"
FSM,Natural Gas Liquids
FSM,Other Hydrocarbons
FSM,Uranium and thorium ores (12)
FSM,Iron ores
FSM,Copper ores and concentrates
FSM,Nickel ores and concentrates
FSM,Aluminium ores and concentrates
FSM,Precious metal ores and concentrates
FSM,"Lead, zinc and tin ores and concentrates"
FSM,Other non-ferrous metal ores and concentrates
FSM,Stone
FSM,Sand and clay
FSM,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
FSM,Products of meat cattle
FSM,Products of meat pigs
FSM,Products of meat poultry
FSM,Meat products nec
FSM,products of Vegetable oils and fats
FSM,Dairy products
FSM,Processed rice
FSM,Sugar
FSM,Food products nec
FSM,Beverages
FSM,Fish products
FSM,Tobacco products (16)
FSM,Textiles (17)
FSM,Wearing apparel; furs (18)
FSM,Leather and leather products (19)
FSM,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
FSM,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
FSM,Pulp
FSM,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
FSM,Paper and paper products
FSM,Printed matter and recorded media (22)
FSM,Coke Oven Coke
FSM,Gas Coke
FSM,Coal Tar
FSM,Motor Gasoline
FSM,Aviation Gasoline
FSM,Gasoline Type Jet Fuel
FSM,Kerosene Type Jet Fuel
FSM,Kerosene
FSM,Gas/Diesel Oil
FSM,Heavy Fuel Oil
FSM,Refinery Gas
FSM,Liquefied Petroleum Gases (LPG)
FSM,Refinery Feedstocks
FSM,Ethane
FSM,Naphtha
FSM,White Spirit & SBP
FSM,Lubricants
FSM,Bitumen
FSM,Paraffin Waxes
FSM,Petroleum Coke
FSM,Non-specified Petroleum Products
FSM,Nuclear fuel
FSM,"Plastics, basic"
FSM,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
FSM,N-fertiliser
FSM,P- and other fertiliser
FSM,Chemicals nec
FSM,Charcoal
FSM,Additives/Blending Components
FSM,Biogasoline
FSM,Biodiesels
FSM,Other Liquid Biofuels
FSM,Rubber and plastic products (25)
FSM,Glass and glass products
FSM,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
FSM,Ceramic goods
FSM,"Bricks, tiles and construction products, in baked clay"
FSM,"Cement, lime and plaster"
FSM,"Ash for treatment, Re-processing of ash into clinker"
FSM,Other non-metallic mineral products
FSM,Basic iron and steel and of ferro-alloys and first products thereof
FSM,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
FSM,Precious metals
FSM,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
FSM,Aluminium and aluminium products
FSM,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
FSM,"Lead, zinc and tin and products thereof"
FSM,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
FSM,Copper products
FSM,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
FSM,Other non-ferrous metal products
FSM,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
FSM,Foundry work services
FSM,"Fabricated metal products, except machinery and equipment (28)"
FSM,Machinery and equipment n.e.c. (29)
FSM,Office machinery and computers (30)
FSM,Electrical machinery and apparatus n.e.c. (31)
FSM,"Radio, television and communication equipment and apparatus (32)"
FSM,"Medical, precision and optical instruments, watches and clocks (33)"
FSM,"Motor vehicles, trailers and semi-trailers (34)"
FSM,Other transport equipment (35)
FSM,Furniture; other manufactured goods n.e.c. (36)
FSM,Secondary raw materials
FSM,"Bottles for treatment, Recycling of bottles by direct reuse"
FSM,Electricity by coal
FSM,Electricity by gas
FSM,Electricity by nuclear
FSM,Electricity by hydro
FSM,Electricity by wind
FSM,Electricity by petroleum and other oil derivatives
FSM,Electricity by biomass and waste
FSM,Electricity by solar photovoltaic
FSM,Electricity by solar thermal
FSM,"Electricity by tide, wave, ocean"
FSM,Electricity by Geothermal
FSM,Electricity nec
FSM,Transmission services of electricity
FSM,Distribution and trade services of electricity
FSM,Coke oven gas
FSM,Blast Furnace Gas
FSM,Oxygen Steel Furnace Gas
FSM,Gas Works Gas
FSM,Biogas
FSM,Distribution services of gaseous fuels through mains
FSM,Steam and hot water supply services
FSM,"Collected and purified water, distribution services of water (41)"
FSM,Construction work (45)
FSM,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
FSM,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
FSM,Retail trade services of motor fuel
FSM,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
FSM,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
FSM,Hotel and restaurant services (55)
FSM,Railway transportation services
FSM,Other land transportation services
FSM,Transportation services via pipelines
FSM,Sea and coastal water transportation services
FSM,Inland water transportation services
FSM,Air transport services (62)
FSM,Supporting and auxiliary transport services; travel agency services (63)
FSM,Post and telecommunication services (64)
FSM,"Financial intermediation services, except insurance and pension funding services (65)"
FSM,"Insurance and pension funding services, except compulsory social security services (66)"
FSM,Services auxiliary to financial intermediation (67)
FSM,Real estate services (70)
FSM,Renting services of machinery and equipment without operator and of personal and household goods (71)
FSM,Computer and related services (72)
FSM,Research and development services (73)
FSM,Other business services (74)
FSM,Public administration and defence services; compulsory social security services (75)
FSM,Education services (80)
FSM,Health and social work services (85)
FSM,Food waste for treatment: incineration
FSM,Paper waste for treatment: incineration
FSM,Plastic waste for treatment: incineration
FSM,Intert/metal waste for treatment: incineration
FSM,Textiles waste for treatment: incineration
FSM,Wood waste for treatment: incineration
FSM,Oil/hazardous waste for treatment: incineration
FSM,Food waste for treatment: biogasification and land application
FSM,Paper waste for treatment: biogasification and land application
FSM,Sewage sludge for treatment: biogasification and land application
FSM,Food waste for treatment: composting and land application
FSM,Paper and wood waste for treatment: composting and land application
FSM,Food waste for treatment: waste water treatment
FSM,Other waste for treatment: waste water treatment
FSM,Food waste for treatment: landfill
FSM,Paper for treatment: landfill
FSM,Plastic waste for treatment: landfill
FSM,Inert/metal/hazardous waste for treatment: landfill
FSM,Textiles waste for treatment: landfill
FSM,Wood waste for treatment: landfill
FSM,Membership organisation services n.e.c. (91)
FSM,"Recreational, cultural and sporting services (92)"
FSM,Other services (93)
FSM,Private households with employed persons (95)
FSM,Extra-territorial organizations and bodies
MCO,Paddy rice
MCO,Wheat
MCO,Cereal grains nec
MCO,"Vegetables, fruit, nuts"
MCO,Oil seeds
MCO,"Sugar cane, sugar beet"
MCO,Plant-based fibers
MCO,Crops nec
MCO,Cattle
MCO,Pigs
MCO,Poultry
MCO,Meat animals nec
MCO,Animal products nec
MCO,Raw milk
MCO,"Wool, silk-worm cocoons"
MCO,Manure (conventional treatment)
MCO,Manure (biogas treatment)
MCO,"Products of forestry, logging and related services (02)"
MCO,Fish and other fishing products; services incidental of fishing (05)
MCO,Anthracite
MCO,Coking Coal
MCO,Other Bituminous Coal
MCO,Sub-Bituminous Coal
MCO,Patent Fuel
MCO,Lignite/Brown Coal
MCO,BKB/Peat Briquettes
MCO,Peat
MCO,"Crude petroleum and services related to crude oil extraction, excluding surveying"
MCO,"Natural gas and services related to natural gas extraction, excluding surveying"
MCO,Natural Gas Liquids
MCO,Other Hydrocarbons
MCO,Uranium and thorium ores (12)
MCO,Iron ores
MCO,Copper ores and concentrates
MCO,Nickel ores and concentrates
MCO,Aluminium ores and concentrates
MCO,Precious metal ores and concentrates
MCO,"Lead, zinc and tin ores and concentrates"
MCO,Other non-ferrous metal ores and concentrates
MCO,Stone
MCO,Sand and clay
MCO,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
MCO,Products of meat cattle
MCO,Products of meat pigs
MCO,Products of meat poultry
MCO,Meat products nec
MCO,products of Vegetable oils and fats
MCO,Dairy products
MCO,Processed rice
MCO,Sugar
MCO,Food products nec
MCO,Beverages
MCO,Fish products
MCO,Tobacco products (16)
MCO,Textiles (17)
MCO,Wearing apparel; furs (18)
MCO,Leather and leather products (19)
MCO,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
MCO,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
MCO,Pulp
MCO,"Secondary paper for treatment, Re-processing of secondary paper into new pulp"
MCO,Paper and paper products
MCO,Printed matter and recorded media (22)
MCO,Coke Oven Coke
MCO,Gas Coke
MCO,Coal Tar
MCO,Motor Gasoline
MCO,Aviation Gasoline
MCO,Gasoline Type Jet Fuel
MCO,Kerosene Type Jet Fuel
MCO,Kerosene
MCO,Gas/Diesel Oil
MCO,Heavy Fuel Oil
MCO,Refinery Gas
MCO,Liquefied Petroleum Gases (LPG)
MCO,Refinery Feedstocks
MCO,Ethane
MCO,Naphtha
MCO,White Spirit & SBP
MCO,Lubricants
MCO,Bitumen
MCO,Paraffin Waxes
MCO,Petroleum Coke
MCO,Non-specified Petroleum Products
MCO,Nuclear fuel
MCO,"Plastics, basic"
MCO,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic"
MCO,N-fertiliser
MCO,P- and other fertiliser
MCO,Chemicals nec
MCO,Charcoal
MCO,Additives/Blending Components
MCO,Biogasoline
MCO,Biodiesels
MCO,Other Liquid Biofuels
MCO,Rubber and plastic products (25)
MCO,Glass and glass products
MCO,"Secondary glass for treatment, Re-processing of secondary glass into new glass"
MCO,Ceramic goods
MCO,"Bricks, tiles and construction products, in baked clay"
MCO,"Cement, lime and plaster"
MCO,"Ash for treatment, Re-processing of ash into clinker"
MCO,Other non-metallic mineral products
MCO,Basic iron and steel and of ferro-alloys and first products thereof
MCO,"Secondary steel for treatment, Re-processing of secondary steel into new steel"
MCO,Precious metals
MCO,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
MCO,Aluminium and aluminium products
MCO,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium"
MCO,"Lead, zinc and tin and products thereof"
MCO,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
MCO,Copper products
MCO,"Secondary copper for treatment, Re-processing of secondary copper into new copper"
MCO,Other non-ferrous metal products
MCO,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
MCO,Foundry work services
MCO,"Fabricated metal products, except machinery and equipment (28)"
MCO,Machinery and equipment n.e.c. (29)
MCO,Office machinery and computers (30)
MCO,Electrical machinery and apparatus n.e.c. (31)
MCO,"Radio, television and communication equipment and apparatus (32)"
MCO,"Medical, precision and optical instruments, watches and clocks (33)"
MCO,"Motor vehicles, trailers and semi-trailers (34)"
MCO,Other transport equipment (35)
MCO,Furniture; other manufactured goods n.e.c. (36)
MCO,Secondary raw materials
MCO,"Bottles for treatment, Recycling of bottles by direct reuse"
MCO,Electricity by coal
MCO,Electricity by gas
MCO,Electricity by nuclear
MCO,Electricity by hydro
MCO,Electricity by wind
MCO,Electricity by petroleum and other oil derivatives
MCO,Electricity by biomass and waste
MCO,Electricity by solar photovoltaic
MCO,Electricity by solar thermal
MCO,"Electricity by tide, wave, ocean"
MCO,Electricity by Geothermal
MCO,Electricity nec
MCO,Transmission services of electricity
MCO,Distribution and trade services of electricity
MCO,Coke oven gas
MCO,Blast Furnace Gas
MCO,Oxygen Steel Furnace Gas
MCO,Gas Works Gas
MCO,Biogas
MCO,Distribution services of gaseous fuels through mains
MCO,Steam and hot water supply services
MCO,"Collected and purified water, distribution services of water (41)"
MCO,Construction work (45)
MCO,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
MCO,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
MCO,Retail trade services of motor fuel
MCO,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
MCO,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
MCO,Hotel and restaurant services (55)
MCO,Railway transportation services
MCO,Other land transportation services
MCO,Transportation services via pipelines
MCO,Sea and coastal water transportation services
MCO,Inland water transportation services
MCO,Air transport services (62)
MCO,Supporting and auxiliary transport services; travel agency services (63)
MCO,Post and telecommunication services (64)
MCO,"Financial intermediation services, except insurance and pension funding services (65)"
MCO,"Insurance and pension funding services, except compulsory social security services (66)"
MCO,Services auxiliary to financial intermediation (67)
MCO,Real estate services (70)
MCO,Renting services of machinery and equipment without operator and of personal and household goods (71)
MCO,Computer and related services (72)
MCO,Research and development services (73)
MCO,Other business services (74)
MCO,Public administration and defence services; compulsory social security services (75)
MCO,Education services (80)
MCO,Health and social work services (85)
MCO,Food waste for treatment: incineration
MCO,Paper waste for treatment: incineration
MCO,Plastic waste for treatment: incineration
MCO,Intert/metal waste for treatment: incineration
MCO,Textiles waste for treatment: incineration
MCO,Wood waste for treatment: incineration
MCO,Oil/hazardous waste for treatment: incineration
MCO,Food waste for treatment: biogasification and land application
MCO,Paper waste for treatment: biogasification and land application
MCO,Sewage sludge for treatment: biogasification and land application
MCO,Food waste for treatment: composting and land application
MCO,Paper and wood waste for treatment: composting and land application
MCO,Food waste for treatment: waste water treatment
MCO,Other waste for treatment: waste water treatment
MCO,Food waste for treatment: landfill
MCO,Paper for treatment: landfill
MCO,Plastic waste for treatment: landfill
MCO,Inert/metal/hazardous waste for treatment: landfill
MCO,Textiles waste for treatment: landfill
MCO,Wood waste for treatment: landfill
MCO,Membership organisation services n.e.c. (91)
MCO,"Recreational, cultural and sporting services (92)"
MCO,Other services (93)
MCO,Private households with employed persons (95)
MCO,Extra-territorial organizations and bodies
MNG,Paddy rice
MNG,Wheat
MNG,Cereal grains nec
MNG,"Vegetables, fruit, nuts"
MNG,Oil seeds
MNG,"Sugar cane, sugar beet"
MNG,Plant-based fibers
MNG,Crops nec
MNG,Cattle
MNG,Pigs
MNG,Poultry
