Exiobase - Region,Exiobase - Category
AND,"Fabricated metal products, except machinery and equipment (28)"
AND,Machinery and equipment n.e.c. (29)
AND,Office machinery and computers (30)
AND,Electrical machinery and apparatus n.e.c. (31)
AND,"Radio, television and communication equipment and apparatus (32)"
AND,"Medical, precision and optical instruments, watches and clocks (33)"
AND,"Motor vehicles, trailers and semi-trailers (34)"
AND,Other transport equipment (35)
AND,Furniture; other manufactured goods n.e.c. (36)
AND,Secondary raw materials
AND,"Bottles for treatment, Recycling of bottles by direct reuse"
AND,Electricity by coal
AND,Electricity by gas
AND,Electricity by nuclear
AND,Electricity by hydro
AND,Electricity by wind
AND,Electricity by petroleum and other oil derivatives
AND,Electricity by biomass and waste
AND,Electricity by solar photovoltaic
AND,Electricity by solar thermal
AND,"Electricity by tide, wave, ocean"
AND,Electricity by Geothermal
AND,Electricity nec
AND,Transmission services of electricity
AND,Distribution and trade services of electricity
AND,Coke oven gas
AND,Blast Furnace Gas
AND,Oxygen Steel Furnace Gas
AND,Gas Works Gas
AND,Biogas
AND,Distribution services of gaseous fuels through mains
AND,Steam and hot water supply services
AND,"Collected and purified water, distribution services of water (41)"
AND,Construction work (45)
AND,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates"
AND,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries"
AND,Retail trade services of motor fuel
AND,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
AND,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
AND,Hotel and restaurant services (55)
AND,Railway transportation services
AND,Other land transportation services
AND,Transportation services via pipelines
AND,Sea and coastal water transportation services
AND,Inland water transportation services
AND,Air transport services (62)
AND,Supporting and auxiliary transport services; travel agency services (63)
AND,Post and telecommunication services (64)
AND,"Financial intermediation services, except insurance and pension funding services (65)"
AND,"Insurance and pension funding services, except compulsory social security services (66)"
AND,Services auxiliary to financial intermediation (67)
AND,Real estate services (70)
AND,Renting services of machinery and equipment without operator and of personal and household goods (71)
AND,Computer and related services (72)
AND,Research and development services (73)
AND,Other business services (74)
AND,Public administration and defence services; compulsory social security services (75)
AND,Education services (80)
AND,Health and social work services (85)
AND,Food waste for treatment: incineration
AND,Paper waste for treatment: incineration
AND,Plastic waste for treatment: incineration
AND,Intert/metal waste for treatment: incineration
AND,Textiles waste for treatment: incineration
AND,Wood waste for treatment: incineration
AND,Oil/hazardous waste for treatment: incineration
AND,Food waste for treatment: biogasification and land application
AND,Paper waste for treatment: biogasification and land application
AND,Sewage sludge for treatment: biogasification and land application
AND,Food waste for treatment: composting and land application
AND,Paper and wood waste for treatment: composting and land application
